ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COGIDS	CROSSIDS	ROOTIDS
3646	EastFutuna_210	old	m a t u ʔ a	old	793	1	1
3802	EastFutuna_210	wife	f i n e + m a t u ʔ a	woman old	1938 1940	2 1	2 1
3806	EastFutuna_210	woman/female	f i n e	woman	1963	2	2
357	Wallisian_258	earth/soil	k e l e	earth	355	3	3
480	Wallisian_258	head	ʔ u l u	head	527	4	4
373	Wallisian_258	worm (earthworm)	ʔ u l u + k e l e	head earth	1983 1979	4 3	4 3
826	Maori_85	fruit	h u a	fruit	460	5	5
847	Maori_85	bird	m a n u	bird	191	6	6
845	Maori_85	egg	h u a + m a n u	fruit bird	365 369	5 6	5 6
3130	Sikaiana_243	small	l i k i	small	998	7	7
3231	Sikaiana_243	child	t a m a + l i k i	person small	231 232	8 7	8 7
3236	Sikaiana_243	person/human being	t a m a	person	834	8	8
